Gender,Tahun,Bulan,-3 SD,-2 SD,-1 SD,Median,+1 SD,+2 SD,+3 SD
Perempuan,0,0,10.1,11.1,12.2,13.3,14.6,16.1,17.7
Perempuan,0,1,10.8,12.0,13.2,14.6,16.0,17.5,19.1
Perempuan,0,2,11.8,13.0,14.3,15.8,17.3,19.0,20.7
Perempuan,0,3,12.4,13.6,14.9,16.4,17.9,19.7,21.5
Perempuan,0,4,12.7,13.9,15.2,16.7,18.3,20.0,22.0
Perempuan,0,5,12.9,14.1,15.4,16.8,18.4,20.2,22.2
Perempuan,0,6,13.0,14.1,15.5,16.9,18.5,20.3,22.3
Perempuan,0,7,13.0,14.2,15.5,16.9,18.5,20.3,22.3
Perempuan,0,8,13.0,14.1,15.4,16.8,18.4,20.2,22.2
Perempuan,0,9,12.9,14.1,15.3,16.7,18.3,20.1,22.1
Perempuan,0,10,12.9,14.0,15.2,16.6,18.2,19.9,21.9
Perempuan,0,11,12.8,13.9,15.1,16.5,18.0,19.8,21.8
Perempuan,1,0,12.7,13.8,15.0,16.4,17.9,19.6,21.6
Perempuan,1,1,12.6,13.7,14.9,16.2,17.7,19.5,21.4
Perempuan,1,2,12.6,13.6,14.8,16.1,17.6,19.3,21.3
Perempuan,1,3,12.5,13.5,14.7,16.0,17.5,19.2,21.1
Perempuan,1,4,12.4,13.5,14.6,15.9,17.4,19.1,21.0
Perempuan,1,5,12.4,13.4,14.5,15.8,17.3,18.9,20.9
Perempuan,1,6,12.3,13.3,14.4,15.7,17.2,18.8,20.8
Perempuan,1,7,12.3,13.3,14.4,15.7,17.1,18.8,20.7
Perempuan,1,8,12.2,13.2,14.3,15.6,17.0,18.7,20.6
Perempuan,1,9,12.2,13.2,14.3,15.5,17.0,18.6,20.5
Perempuan,1,10,12.2,13.1,14.2,15.5,16.9,18.5,20.4
Perempuan,1,11,12.2,13.1,14.2,15.4,16.9,18.5,20.4
Perempuan,2,0,12.4,13.3,14.4,15.7,17.1,18.7,20.6
Perempuan,2,1,12.4,13.3,14.4,15.7,17.1,18.7,20.6
Perempuan,2,2,12.3,13.3,14.4,15.6,17.0,18.7,20.6
Perempuan,2,3,12.3,13.3,14.4,15.6,17.0,18.6,20.5
Perempuan,2,4,12.3,13.3,14.3,15.6,17.0,18.6,20.5
Perempuan,2,5,12.3,13.2,14.3,15.6,17.0,18.6,20.4
Perempuan,2,6,12.3,13.2,14.3,15.5,16.9,18.5,20.4
