Kategori;Nama Bahan;Air (gram);Energi (kal);Protein (gram);Lemak (gram);Karbohidrat (gram);Serat (gram);Harga (Rp.)
Daging dan Ikan;Anak sapi, daging, gemuk, segar;620;184;188;140;0;0;14000
Daging dan Ikan;Anak sapi, daging, kurus, segar;690;174;196;100;0;0;14000
Daging dan Ikan;Anak sapi, daging, sedang, segar;680;190;191;120;0;0;14000
Daging dan Ikan;Angsa, daging, segar;511;349;164;315;0;0;6000
Daging dan Ikan;Ayam, daging, segar;559;298;182;250;0;0;4000
Daging dan Ikan;Ayam, dideh/darah, segar;820;75;138;19;7;0;4000
Daging dan Ikan;Ayam, hati, segar;534;261;274;161;16;0;5000
Daging dan Ikan;Bebek (itik), daging, segar;543;321;160;286;0;0;6000
Daging dan Ikan;Bebek alabio, daging, segar;570;303;113;270;37;0;6000
Daging dan Ikan;Belibis, daging, segar;713;131;202;43;28;0;6000
Daging dan Ikan;Burung, sarang, segar;248;281;375;3;321;0;4000
Daging dan Ikan;Domba, daging, gemuk, segar;558;317;157;277;0;0;13000
Daging dan Ikan;Domba, daging, kurus, segar;663;202;171;148;0;0;13000
Daging dan Ikan;Domba, ginjal, segar;778;100;166;33;10;0;8000
Daging dan Ikan;Kambing, daging, segar;703;149;166;92;0;0;13000
Daging dan Ikan;Kelinci, daging, segar;743;142;169;78;0;0;11000
Daging dan Ikan;Kerbau, daging, segar;800;79;187;5;0;0;13000
Daging dan Ikan;Kuda, daging, segar;760;113;181;41;9;0;11000
Daging dan Ikan;Sapi, babat, segar;767;108;176;42;0;0;8000
Daging dan Ikan;Sapi, daging, gemuk, segar;600;273;175;220;0;0;14000
Daging dan Ikan;Sapi, daging, kurus, segar;690;174;196;100;0;0;14000
Daging dan Ikan;Sapi, daging, lemak, sedang, segar;660;201;188;140;0;0;14000
Daging dan Ikan;Sapi, daleman, segar;701;183;120;144;14;0;8000
Daging dan Ikan;Sapi, dideh/darah;756;98;219;11;0;0;4000
Daging dan Ikan;Sapi, ginjal, segar;749;137;150;81;9;0;8000
Daging dan Ikan;Sapi, keleponan, segar;838;84;105;46;2;0;8000
Daging dan Ikan;Sapi, liver, segar;697;132;197;32;60;0;8000
Daging dan Ikan;Sapi, otak, segar;789;123;104;86;8;0;8000
Daging dan Ikan;Sapi, usus, segar;767;126;140;72;15;0;8000
Daging dan Ikan;Ulat sagu segar;659;241;58;216;58;28;6000
Daging dan Ikan;Belut, segar;815;70;146;8;10;0;6000
Daging dan Ikan;Belut,laut, segar;795;93;128;15;61;0;6000
Daging dan Ikan;Cumi-cumi, segar;822;75;161;7;1;0;7000
Daging dan Ikan;Ikan bader, segar;660;193;190;130;0;0;4000
Daging dan Ikan;Ikan balong, segar;765;107;165;39;15;0;4000
Daging dan Ikan;Ikan bambangan, segar;737;112;200;13;37;0;4000
Daging dan Ikan;Ikan bandeng, segar;740;123;200;48;0;0;4000
Daging dan Ikan;Ikan banjar, segar;735;111;194;9;48;0;5000
Daging dan Ikan;Ikan baronang, segar;800;78;145;6;37;0;5000
Daging dan Ikan;Ikan batung, segar;757;115;145;46;42;0;5000
Daging dan Ikan;Ikan baung, segar;749;123;151;55;33;0;5000
Daging dan Ikan;Ikan bawal, segar;780;91;190;17;0;0;5000
Daging dan Ikan;Ikan Belida, segar;792;80;147;14;22;0;5000
Daging dan Ikan;Ikan beunteur, segar;700;109;170;40;0;0;5000
Daging dan Ikan;Ikan biawan, segar;791;90;149;25;21;0;5000
Daging dan Ikan;Ikan bili, segar;683;88;142;7;62;0;5000
Daging dan Ikan;Ikan bubara, segar;755;100;147;24;49;0;5000
Daging dan Ikan;Ikan bulan-bulan, segar;667;134;255;13;50;0;5000
Daging dan Ikan;Ikan cakalang, segar;730;107;196;7;55;0;4000
Daging dan Ikan;Ikan cakalang, hati, segar;734;120;113;39;100;0;5000
Daging dan Ikan;Ikan cakalang, jantung, segar;763;116;112;12;102;0;5000
Daging dan Ikan;Ikan cakalang, perut, segar;791;86;102;11;87;0;5000
Daging dan Ikan;Ikan daun, segar;786;101;115;41;46;0;5000
Daging dan Ikan;Ikan ekor kuning, segar;741;108;223;12;21;0;5000
Daging dan Ikan;Ikan gabus, segar;796;80;162;5;26;0;6000
Daging dan Ikan;Ikan heu, segar;756;81;100;16;66;0;5000
Daging dan Ikan;Ikan hitam, segar;782;101;103;37;67;0;5000
Daging dan Ikan;Ikan hiu, segar;857;57;107;3;22;0;6000
Daging dan Ikan;Ikan kacangan, segar;807;77;156;9;16;0;5000
Daging dan Ikan;Ikan kakap, segar;770;92;200;7;0;0;5000
Daging dan Ikan;Ikan kakatua, segar;797;82;114;12;64;0;5000
Daging dan Ikan;Ikan kalaban, segar;803;77;164;7;13;0;5000
Daging dan Ikan;Ikan kamera (kakap merah), segar;785;86;197;8;0;0;5000
Daging dan Ikan;Ikan kapar, segar;742;132;170;67;8;0;5000
Daging dan Ikan;Ikan kawalinya, segar;761;110;126;42;54;0;5000
Daging dan Ikan;Ikan keru-keru, segar;772;93;165;21;8;0;5000
Daging dan Ikan;Ikan kima, segar;821;70;108;7;52;0;5000
Daging dan Ikan;Ikan lais, segar;650;161;119;115;24;0;5000
Daging dan Ikan;Ikan layang, segar;740;109;220;17;0;0;5000
Daging dan Ikan;Ikan layur, segar;801;82;180;10;4;0;5000
Daging dan Ikan;Ikan lehoma, segar;776;90;204;9;0;0;5000
Daging dan Ikan;Ikan lemuru, segar;760;112;200;30;0;0;5000
Daging dan Ikan;Ikan lidah, segar;783;104;156;32;20;0;5000
Daging dan Ikan;Ikan malalugis, segar;756;99;206;14;9;0;5000
Daging dan Ikan;Ikan mamar merah, segar;750;115;153;40;44;0;5000
Daging dan Ikan;Ikan mas, segar;800;86;160;20;0;0;5000
Daging dan Ikan;Ikan mayong, segar;782;97;179;20;4;0;5000
Daging dan Ikan;Ikan mujahir, segar;797;89;187;10;0;0;3500
Daging dan Ikan;Ikan nasu metti, segar;653;154;168;50;105;0;5000
Daging dan Ikan;Ikan oci, kembung, segar;714;125;213;34;22;0;4000
Daging dan Ikan;Ikan paling, segar;580;303;140;270;0;0;5000
Daging dan Ikan;Ikan papuyu/ betok, segar;750;120;143;49;46;0;5000
Daging dan Ikan;Ikan patin, segar;744;132;170;66;11;0;3500
Daging dan Ikan;Ikan pomo, segar;683;147;225;52;26;0;5000
Daging dan Ikan;Ikan puntin, segar;811;76;144;11;22;0;5000
Daging dan Ikan;Ikan saluang, segar;748;113;139;49;34;0;5000
Daging dan Ikan;Ikan sarden, segar;727;109;199;18;34;0;5000
Daging dan Ikan;Ikan selar, segar;754;100;188;22;0;0;5000
Daging dan Ikan;Ikan sepat, segar;788;84;152;6;47;0;5000
Daging dan Ikan;Ikan sidat, segar;713;81;114;19;38;0;5000
Daging dan Ikan;Ikan sunu, segar;755;111;133;34;67;0;5000
Daging dan Ikan;Ikan tahuman, segar;774;88;159;9;41;0;5000
Daging dan Ikan;Ikan tarmon, segar;767;96;195;11;20;0;5000
Daging dan Ikan;Ikan telan, segar;753;95;158;7;65;0;5000
Daging dan Ikan;Ikan tembang, segar;650;204;160;150;0;0;5000
Daging dan Ikan;Ikan tempahas, segar;789;101;151;41;10;0;5000
Daging dan Ikan;Ikan terbang, segar;761;98;196;17;10;0;5000
Daging dan Ikan;Ikan teri, segar;800;74;103;14;41;0;5000
Daging dan Ikan;Ikan titang, segar;788;82;174;4;23;0;5000
Daging dan Ikan;Ikan tongkol, segar;747;100;137;15;80;0;4000
Daging dan Ikan;Ikan turi, segar;769;96;192;20;2;0;5000
Daging dan Ikan;Keong, segar;810;64;120;10;20;0;3000
Daging dan Ikan;Kepiting, segar;681;151;138;38;141;0;6000
Daging dan Ikan;Kerang, segar;782;101;144;26;39;0;3000
Daging dan Ikan;Kodok, segar;819;73;164;3;0;0;5000
Daging dan Ikan;Kuro, segar;799;87;160;22;10;0;5000
Daging dan Ikan;Lokan, segar;809;217;110;17;51;0;3000
Daging dan Ikan;Rajungan, segar;802;76;121;20;24;0;6000
Daging dan Ikan;Rebon, udang kecil, segar;790;81;162;12;7;0;5000
Daging dan Ikan;Rusip;585;110;115;20;117;0;5000
Daging dan Ikan;Udang galah, segar;790;81;165;3;30;0;7000
Daging dan Ikan;Udang, besar, segar;855;56;114;6;12;0;7000
Daging dan Ikan;Udang, segar;750;91;210;2;1;0;7000
Telur;Telur ayam kampung, segar;731;174;108;140;12;0;3000
Telur;Telur ayam ras, segar;743;154;124;108;7;0;2500
Telur;Telur ayam ras, bagian kuning, segar;494;355;163;319;7;0;3000
Telur;Telur Ayam ras, bagian putih, segar;878;50;108;0;8;0;1000
Telur;Telur bebek alabio, segar;700;187;118;142;30;0;3500
Telur;Telur bebek, bagian kuning, segar;470;386;170;350;8;0;4000
Telur;Telur bebek, bagian putih, segar;880;54;110;0;8;0;1500
Telur;Telur bebek tambak, segar;677;187;109;124;79;0;3500
Telur;Telur burung maleo, segar;360;436;265;363;4;0;100000
Telur;Telur burung puyuh,;798;116;107;70;16;0;4000
Sayuran;Akar tonjong, segar;867;45;11;4;108;12;3000
Sayuran;Ale,toge, segar;906;37;44;5;38;17;2500
Sayuran;Andaliman, segar;742;99;46;10;180;85;5000
Sayuran;Andewi, segar;918;226;16;2;53;41;3000
Sayuran;Bakung, segar;925;27;20;2;42;38;3000
Sayuran;Baligo, segar;961;15;4;2;30;4;3000
Sayuran;Bawang bombay, segar;875;43;14;2;103;20;4500
Sayuran;Bayam, segar;945;16;9;4;29;7;3000
Sayuran;Bayam merah, segar;885;41;22;8;63;22;3000
Sayuran;Bit, segar;876;41;16;1;96;26;4500
Sayuran;Buah kelor;895;38;15;2;75;32;5000
Sayuran;Buah merah;812;87;26;27;131;40;5000
Sayuran;Buncis, segar;896;34;24;3;72;19;3500
Sayuran;Bunga pepaya, segar;873;45;26;3;81;16;4000
Sayuran;Bunga turi, segar;904;42;20;11;61;33;4000
Sayuran;Caisin, segar;936;20;17;4;34;12;2500
Sayuran;Daun bangun-bangun, segar;925;27;13;6;40;10;3000
Sayuran;Daun bawang merah, segar;891;41;20;3;78;21;3000
Sayuran;Daun bebuas, segar;879;41;27;10;73;21;3500
Sayuran;Daun belem, segar;846;50;44;14;78;19;3000
Sayuran;Daun gandaria, segar;810;63;31;3;140;21;3500
Sayuran;Daun gedi besar, segar;840;58;29;7;100;33;3000
Sayuran;Daun gedi kecil, segar;837;61;32;7;104;34;3000
Sayuran;Daun gelang, segar;903;30;13;7;58;13;2500
Sayuran;Daun gunda bali, segar;864;50;46;9;70;14;3000
Sayuran;Daun gunda serang, segar;846;62;42;9;92;13;3000
Sayuran;Daun jambu mete muda, segar;780;78;46;5;162;30;3000
Sayuran;Daun jampang, segar;889;34;38;5;53;14;3000
Sayuran;Daun jawaw seluang, segar;772;93;50;13;153;39;3000
Sayuran;Daun jonghe, segar;914;27;21;7;44;20;3000
Sayuran;Daun kacang ma, segar;891;36;29;6;68;18;3500
Sayuran;Daun kacang panjang, segar;897;30;31;3;58;17;3500
Sayuran;Daun kasbi/singkong karet, segar;803;92;40;36;109;58;2500
Sayuran;Daun katuk, segar;810;59;64;10;99;15;3500
Sayuran;Daun kecipir, segar;850;52;50;5;85;0;3500
Sayuran;Daun kedondong, segar;810;59;35;3;134;107;3000
Sayuran;Daun kelor, segar;755;92;51;16;143;82;3500
Sayuran;Daun kemang, segar;850;43;55;3;75;84;3000
Sayuran;Daun kenikir, segar;876;45;37;5;66;58;3000
Sayuran;Daun kesum, segar;848;48;45;8;91;16;3500
Sayuran;Daun kol sawi, segar;931;22;21;5;36;9;2500
Sayuran;Daun koro, segar;910;23;30;3;37;0;3000
Sayuran;Daun kubis, segar;862;51;25;11;80;34;3000
Sayuran;Daun kumak, segar;952;14;13;3;23;9;3000
Sayuran;Daun labu siam, segar;897;34;40;4;47;35;3000
Sayuran;Daun labu waluh/kuning, segar;897;34;36;6;45;29;3000
Sayuran;Daun lamtoro, segar;740;87;83;18;144;33;3500
Sayuran;Daun leilem, segar;794;76;28;2;158;31;3500
Sayuran;Daun leunca, segar;850;49;47;5;81;0;3500
