Gender,Kelompok Umur,Berat Badan (kg),Tinggi Badan (cm),Energi (kal),Protein (gram),Lemak (gram),Karbohidrat (gram),Serat (gram),Air (ml)
Laki-laki,0 - 5 Bulan,6,60,550,9,31,59,0,700
Laki-laki,6 - 11 Bulan,9,72,800,15,35,105,11,900
Laki-laki,1 - 3 Tahun,13,92,1350,20,45,215,19,1150
Laki-laki,4 - 6 Tahun,19,113,1400,25,50,220,20,1450
Laki-laki,7 - 9 Tahun,27,130,1650,40,55,250,23,1650
Laki-laki,10 - 12 Tahun,36,145,2000,50,65,300,28,1850
Laki-laki,13 - 15 Tahun,50,163,2400,70,80,350,34,2100
Laki-laki,16 - 18 Tahun,60,168,2650,75,85,400,37,2300
Laki-laki,19 – 29 Tahun,60,168,2650,65,75,430,37,2500
Laki-laki,30 – 49 Tahun,60,166,2550,65,70,415,36,2500
Laki-laki,50 – 64 Tahun,60,166,2150,65,60,340,30,2500
Laki-laki,65 – 80 Tahun,58,164,1800,64,50,275,25,1800
Laki-laki,80+ Tahun,58,164,1600,64,45,235,22,1600
Perempuan,0 - 5 Bulan,6,60,550,9,31,59,0,700
Perempuan,6 - 11 Bulan,9,72,800,15,35,105,11,900
Perempuan,1 - 3 Tahun,13,92,1350,20,45,215,19,1150
Perempuan,4 - 6 Tahun,19,113,1400,25,50,220,20,1450
Perempuan,7 - 9 Tahun,27,130,1650,40,55,250,23,1650
Perempuan,10 - 12 Tahun,38,147,1900,55,65,280,27,1850
Perempuan,13 - 15 Tahun,48,156,2050,65,70,300,29,2100
Perempuan,16 - 18 Tahun,52,159,2100,65,70,300,29,2150
Perempuan,19 – 29 Tahun,55,159,2250,60,65,360,32,2350
Perempuan,30 – 49 Tahun,56,158,2150,60,60,340,30,2350
Perempuan,50 – 64 Tahun,56,158,1800,60,50,280,25,2350
Perempuan,65 – 80 Tahun,53,157,1550,58,45,230,22,1550
Perempuan,80+ Tahun,53,157,1400,58,40,200,20,1400
